5.97	3.73	5.45	1.51	2.29	0	1	2.31	3.22	4.63	2.46
4.58	6.39	2.3	3.2	1	0	1.53	2.32	3.81	3.02	4.63
7.75	3.77	4.6	2.31	1.53	0	1	2.33	3.21	3.1	3.99
4.62	5.5	3.22	2.32	1	0	1.56	4.16	2.59	4.6	3.72
6.92	4.63	3.81	2.33	1.56	0	5	1.2	4.63	2.41	4.08
2.46	3.02	3.21	4.16	5	0	5.13	2.46	5.51	4.56	7.84
4.63	3.1	2.59	1.2	5.13	0	4.17	1.2	3.1	3.16	7.96
3.99	4.6	4.63	2.46	4.17	0	4	2.31	6.12	11.27	8.35
3.72	2.41	5.51	1.2	4	0	2.33	2.34	7.44	4.7	6.24
4.08	4.56	3.1	2.31	2.33	0	4	9.09	6.12	7.42	7.91
7.84	3.16	6.12	2.34	4	0	5.16	2.36	3.92	4.84	10.76
7.96	11.27	7.44	9.09	5.16	0	3	2.39	3.29	5.7	4.13
8.35	4.7	6.12	2.36	3	0	1.63	2.75	8.44	5.6	7.2
6.24	7.42	3.92	2.39	1.63	0	1.29	7.13	3.99	5.67	8.98
7.91	4.84	3.29	2.75	1.29	0	7	3.28	5.18	8.45	6.57
10.76	5.7	8.44	7.13	7	0	4.23	2.44	3.02	2.98	4.74
4.13	5.6	3.99	3.28	4.23	0	2	5.19	3.3	6.62	8.55
7.2	5.67	5.18	2.44	2	0	3.31	1.71	4.9	7.64	12.26
8.98	8.45	3.02	5.19	3.31	0	2	1.75	5.72	9.66	12.98
6.57	2.98	3.3	1.71	2	0	3.32	6	10.55	12.51	15.67
4.74	6.62	4.9	1.75	3.32	0	4.43	7.96	11.98	15.91	18.7
8.55	7.64	5.72	6	4.43	0	4.96	7.64	11.86	14.29	20.18
12.26	9.66	10.55	7.96	4.96	0	8.22	13.04	12.38	16.21	21.47
12.98	12.51	11.98	7.64	8.22	0	4.82	7.64	15.85	21.81	25.21
15.67	15.91	11.86	13.04	4.82	0	8.12	17.55	23.42	27.14	33.4
18.7	14.29	12.38	7.64	8.12	0	9.49	15.31	19.08	25.34	28.76
20.18	16.21	15.85	17.55	9.49	0	5.97	9.6	15.86	19.3	23.11
21.47	21.81	23.42	15.31	5.97	0	4	10.15	13.48	17.38	162.58
25.21	27.14	19.08	9.6	4	0	6.26	9.71	13.52	158.62	100
33.4	25.34	15.86	10.15	6.26	0	3.54	7.26	152.44	106	106
28.76	19.3	13.48	9.71	3.54	0	4	149.26	109	109	109
23.11	17.38	13.52	7.26	4	0	145.28	113	113	113	113
162.58	158.62	152.44	149.26	145.28	0	258	258	258	258	113.83
100	106	109	113	258	0	0	0	0	146	133
106	109	113	258	0	0	0	0	146	133	130
109	113	258	0	0	0	0	146	133	130	132
113	258	0	0	0	0	146	133	130	132	131
113.83	146	146	146	146	0	13.88	17.55	15.77	17.84	15.73
133	133	133	133	13.88	0	3.78	2.52	5.02	18.78	133
130	130	130	17.55	3.78	0	2	2.49	20.35	130	130
132	132	15.77	2.52	2	0	2.5	18.52	132	132	132
131	17.84	5.02	2.49	2.5	0	18.65	131	131	131	131
15.73	18.78	20.35	18.52	18.65	0	149	149	149	149	149
133	130	132	131	149	0	0	0	0	0	0
130	132	131	149	0	0	0	0	0	0	0
132	131	149	0	0	0	0	0	0	0	0
131	149	0	0	0	0	0	0	0	0	0
149	0	0	0	0	0	0	0	0	0	0
